,tconst,primary_title,runtime_minutes,genres,release_date,production_budget,domestic_gross,worldwide_gross,total_profit
657,tt0816442,The Book Thief,131.0,"Drama,War","Nov 8, 2013",19000000,21488481,76086711,57086711
660,tt1601913,The Grey,117.0,"Action,Adventure,Drama","Jan 27, 2012",25000000,51580136,81249176,56249176
661,tt1823672,Chappie,120.0,"Action,Crime,Drama","Mar 6, 2015",49000000,31569268,105002056,56002056
663,tt2083355,The Best Man Holiday,123.0,"Comedy,Drama","Nov 15, 2013",17000000,70525195,72835710,55835710
665,tt0790636,Dallas Buyers Club,117.0,"Biography,Drama","Nov 1, 2013",5000000,27298285,60611845,55611845
666,tt5164432,"Love, Simon",110.0,"Comedy,Drama,Romance","Mar 16, 2018",10000000,40826341,65520633,55520633
667,tt2334879,White House Down,131.0,"Action,Drama,Thriller","Jun 28, 2013",150000000,73103784,205440387,55440387
671,tt8155288,Happy Death Day 2U,100.0,"Drama,Horror,Mystery","Feb 13, 2019",9000000,28051045,64179495,55179495
673,tt1124035,The Ides of March,101.0,"Drama,Thriller","Oct 7, 2011",23000000,40962534,77735925,54735925
675,tt3397884,Sicario,121.0,"Action,Crime,Drama","Sep 18, 2015",30000000,46889293,84393749,54393749
